iter	Passed	Remaining
192	378	1582
193	380	1579
194	382	1579
195	384	1578
196	386	1576
197	388	1575
198	391	1573
199	393	1572
200	395	1571
201	397	1570
202	399	1568
203	401	1565
204	403	1565
205	405	1563
206	408	1563
207	410	1562
208	412	1562
209	414	1559
210	416	1559
211	418	1556
212	420	1553
213	422	1552
214	424	1550
215	426	1549
216	429	1548
217	431	1547
218	433	1545
219	434	1542
220	437	1540
221	439	1538
222	441	1536
223	443	1534
224	445	1533
225	447	1530
226	448	1528
227	450	1526
228	453	1525
229	455	1523
230	457	1522
231	459	1520
232	461	1520
233	464	1519
234	466	1518
235	468	1515
236	469	1512
237	471	1509
238	473	1508
239	475	1506
240	477	1504
241	479	1501
242	481	1498
243	482	1495
244	484	1492
245	486	1489
246	488	1488
247	490	1485
248	491	1482
249	493	1480
250	495	1477
251	496	1474
252	498	1470
253	499	1468
254	501	1465
255	503	1462
256	505	1461
257	507	1458
258	508	1455
259	510	1453
260	512	1450
261	514	1447
262	515	1444
263	517	1442
264	518	1439
265	521	1437
266	522	1435
267	524	1432
268	526	1430
269	528	1427
270	529	1425
271	531	1422
272	533	1419
273	534	1417
274	537	1415
275	538	1413
276	540	1411
277	542	1408
278	543	1405
279	545	1402
280	547	1400
281	548	1397
282	550	1395
283	552	1394
284	554	1391
285	556	1389
286	558	1386
287	559	1383
288	561	1380
289	563	1378
290	564	1376
291	566	1373
292	568	1371
293	570	1369
294	572	1368
295	574	1366
296	576	1363
297	578	1362
298	579	1359
299	581	1356
300	583	1354
301	585	1353
302	587	1350
303	588	1348
304	591	1347
305	592	1344
306	594	1342
307	596	1339
308	598	1338
309	600	1337
310	602	1334
311	604	1333
312	606	1330
313	608	1328
314	609	1325
315	611	1324
316	613	1322
317	615	1320
318	617	1318
319	619	1315
320	621	1313
321	622	1311
322	623	1307
323	625	1305
324	627	1303
325	629	1300
326	630	1298
327	633	1296
328	634	1294
329	636	1291
330	638	1291
331	640	1289
332	642	1287
333	644	1285
334	646	1284
335	649	1283
336	651	1280
337	653	1279
338	655	1277
339	656	1274
340	658	1272
341	660	1270
342	662	1268
343	664	1267
344	666	1266
345	669	1264
346	671	1262
347	673	1260
348	674	1258
349	676	1255
350	678	1254
351	680	1253
352	682	1251
353	685	1250
354	686	1247
355	688	1245
356	690	1243
357	692	1241
358	694	1240
359	697	1239
360	699	1238
361	701	1236
362	703	1234
363	705	1232
364	706	1229
365	708	1227
366	710	1225
367	712	1224
368	715	1222
369	717	1221
370	719	1219
371	720	1217
372	722	1214
373	724	1212
374	726	1210
375	728	1209
376	730	1207
377	732	1205
378	734	1203
379	736	1200
380	737	1198
381	739	1196
382	740	1193
383	743	1191
384	744	1189
385	746	1187
386	748	1185
387	749	1182
388	751	1180
389	752	1177
390	755	1176
391	756	1173
392	758	1172
393	760	1170
394	762	1167
395	763	1165
396	765	1162
397	766	1160
398	768	1157
399	770	1155
400	772	1153
401	774	1151
402	776	1149
403	778	1147
404	780	1146
405	782	1144
406	783	1141
407	785	1139
408	786	1137
409	788	1134
410	790	1132
411	792	1130
412	794	1128
413	795	1126
414	797	1123
415	799	1121
416	800	1119
417	802	1117
418	803	1114
419	805	1112
420	807	1110
421	809	1108
422	811	1106
423	813	1104
424	814	1102
425	816	1100
426	818	1097
427	820	1096
428	822	1094
429	824	1092
430	826	1090
431	827	1088
432	829	1086
433	831	1083
434	832	1081
435	834	1079
436	836	1078
437	838	1076
438	840	1074
439	842	1071
440	844	1069
441	845	1067
442	847	1065
443	849	1063
444	851	1061
445	853	1060
446	855	1058
447	857	1056
448	859	1055
449	861	1052
450	862	1050
451	864	1048
452	866	1046
453	868	1044
454	870	1042
455	872	1040
456	874	1039
457	876	1037
458	878	1035
459	880	1033
460	882	1031
461	883	1029
462	885	1027
463	888	1025
464	890	1023
465	891	1021
466	893	1019
467	895	1018
468	897	1016
469	899	1014
470	901	1012
471	903	1011
472	906	1009
473	908	1007
474	910	1005
475	911	1003
476	913	1001
477	915	999
478	917	998
479	919	996
480	922	994
481	923	992
482	925	990
483	927	989
484	929	987
485	931	985
486	933	983
487	935	981
488	937	980
489	939	977
490	941	976
491	943	974
492	945	971
493	947	970
494	949	968
495	951	966
496	953	964
497	955	963
498	957	961
499	959	959
500	962	958
501	963	956
502	966	954
503	968	953
504	971	951
505	972	949
506	974	947
507	976	946
508	978	944
509	982	943
510	984	942
511	986	940
512	988	938
513	990	936
514	992	935
515	995	933
516	997	931
517	999	929
518	1001	928
519	1003	926
520	1005	924
521	1008	923
522	1010	921
523	1012	919
524	1014	917
525	1015	915
526	1017	913
527	1019	911
528	1021	909
529	1022	906
530	1023	904
531	1025	902
532	1028	900
533	1030	899
534	1032	897
535	1035	895
536	1036	894
537	1038	892
538	1041	890
539	1043	888
540	1045	887
541	1048	885
542	1050	883
543	1051	881
544	1053	879
545	1055	877
546	1057	875
547	1059	873
548	1061	872
549	1063	870
550	1065	868
551	1076	873
552	1079	872
553	1081	870
554	1083	868
555	1084	866
556	1086	864
557	1088	862
558	1090	860
559	1092	858
560	1094	856
561	1096	854
562	1097	852
563	1099	850
564	1101	848
565	1104	846
566	1106	844
567	1110	844
568	1112	842
569	1115	841
570	1117	839
571	1119	837
572	1121	835
573	1123	834
574	1125	832
575	1128	830
576	1131	829
577	1132	827
578	1135	825
579	1136	823
580	1138	821
581	1140	819
582	1142	817
583	1145	815
584	1147	813
585	1149	811
586	1150	809
587	1152	807
588	1154	805
589	1157	804
590	1159	802
591	1161	800
592	1162	798
593	1164	796
594	1166	794
595	1168	792
596	1171	790
597	1173	788
598	1175	787
599	1177	784
600	1178	782
601	1180	780
602	1182	778
603	1184	776
604	1186	774
605	1188	772
606	1190	771
607	1192	769
608	1194	767
609	1196	765
610	1198	762
611	1200	760
612	1202	759
613	1204	757
614	1206	755
615	1208	753
616	1210	751
617	1212	749
618	1214	747
619	1216	745
620	1218	743
621	1220	741
622	1224	740
623	1225	738
624	1228	736
625	1229	734
626	1231	732
627	1233	730
628	1235	728
629	1237	727
630	1239	725
631	1242	723
632	1243	721
633	1245	719
634	1247	716
635	1249	715
636	1252	713
637	1254	711
638	1255	709
639	1257	707
640	1259	705
641	1260	703
642	1262	700
643	1264	698
644	1266	696
645	1267	694
646	1270	693
647	1271	690
648	1273	688
649	1275	686
650	1277	684
651	1279	682
652	1280	680
653	1283	678
654	1285	676
655	1287	674
656	1289	673
657	1290	670
658	1292	668
659	1294	666
660	1296	664
661	1298	663
662	1300	660
663	1302	659
664	1304	656
665	1305	654
666	1307	652
667	1310	651
668	1312	649
669	1314	647
670	1316	645
671	1318	643
672	1319	641
673	1321	639
674	1323	637
675	1325	635
676	1326	633
677	1328	631
678	1330	629
679	1332	627
680	1334	624
681	1336	623
682	1338	621
683	1339	619
684	1342	617
685	1344	615
686	1346	613
687	1348	611
688	1350	609
689	1352	607
690	1353	605
691	1355	603
692	1357	601
693	1359	599
694	1361	597
695	1365	596
696	1368	595
697	1371	593
698	1373	591
699	1376	589
700	1378	588
701	1380	586
702	1384	584
703	1386	582
704	1387	580
705	1389	578
706	1391	576
707	1393	574
708	1395	572
709	1397	570
710	1398	568
711	1400	566
712	1401	564
713	1403	562
714	1405	560
715	1407	558
716	1409	556
717	1410	554
718	1412	551
719	1413	549
720	1415	547
721	1417	545
722	1419	543
723	1421	541
724	1424	540
725	1426	538
726	1428	536
727	1430	534
728	1432	532
729	1433	530
730	1435	528
731	1437	526
732	1439	524
733	1441	522
734	1444	520
735	1445	518
736	1447	516
737	1449	514
738	1451	512
739	1453	510
740	1455	508
741	1456	506
742	1458	504
743	1460	502
744	1461	500
745	1463	498
746	1464	496
747	1466	494
748	1468	492
749	1470	490
750	1473	488
751	1475	486
752	1477	484
753	1479	482
754	1481	480
755	1482	478
756	1484	476
757	1486	474
758	1488	472
759	1490	470
760	1492	468
761	1493	466
762	1495	464
763	1497	462
764	1498	460
765	1500	458
766	1501	456
767	1503	454
768	1505	452
769	1506	450
770	1508	448
771	1510	446
772	1512	444
773	1513	442
774	1515	439
775	1517	438
776	1519	436
777	1520	434
778	1522	431
779	1524	429
780	1526	427
781	1527	425
782	1529	423
783	1530	421
784	1533	419
785	1535	417
786	1537	416
787	1539	414
788	1540	412
789	1542	410
790	1543	407
791	1545	405
792	1547	403
793	1549	401
794	1551	399
795	1552	397
796	1554	395
797	1556	393
798	1557	391
799	1559	389
800	1560	387
801	1562	385
802	1564	383
803	1566	381
804	1568	379
805	1569	377
806	1571	375
807	1573	373
808	1574	371
809	1576	369
810	1578	367
811	1580	365
812	1582	364
813	1584	362
814	1586	360
815	1587	358
816	1589	355
817	1590	353
818	1592	352
819	1594	350
820	1596	348
821	1598	346
822	1600	344
823	1601	342
824	1603	340
825	1605	338
826	1606	336
827	1608	334
828	1610	332
829	1611	330
830	1613	328
831	1615	326
832	1617	324
833	1619	322
834	1620	320
835	1622	318
836	1623	316
837	1625	314
838	1627	312
839	1629	310
840	1631	308
841	1632	306
842	1634	304
843	1636	302
844	1638	300
845	1639	298
846	1641	296
847	1643	294
848	1645	292
849	1647	290
850	1649	288
851	1651	286
852	1653	284
853	1655	283
854	1657	281
855	1659	279
856	1661	277
857	1663	275
858	1665	273
859	1666	271
860	1668	269
861	1670	267
862	1672	265
863	1673	263
864	1676	261
865	1678	259
866	1679	257
867	1681	255
868	1683	253
869	1685	251
870	1687	249
871	1689	247
872	1690	245
873	1693	244
874	1695	242
875	1697	240
876	1698	238
877	1700	236
878	1702	234
879	1704	232
880	1706	230
881	1708	228
882	1710	226
883	1711	224
884	1713	222
885	1715	220
886	1717	218
887	1719	216
888	1720	214
889	1722	212
890	1725	211
891	1726	209
892	1728	207
893	1730	205
894	1732	203
895	1734	201
896	1736	199
897	1738	197
898	1739	195
899	1741	193
900	1744	191
901	1746	189
902	1747	187
903	1749	185
904	1751	183
905	1753	181
906	1754	179
907	1756	178
908	1758	176
909	1760	174
910	1762	172
911	1763	170
912	1765	168
913	1766	166
914	1768	164
915	1769	162
916	1771	160
917	1774	158
918	1776	156
919	1778	154
920	1779	152
921	1781	150
922	1782	148
923	1784	146
924	1786	144
925	1788	142
926	1790	140
927	1791	139
928	1793	137
929	1794	135
930	1796	133
931	1798	131
932	1799	129
933	1801	127
934	1803	125
935	1805	123
936	1806	121
937	1808	119
938	1810	117
939	1811	115
940	1813	113
941	1815	111
942	1816	109
943	1818	107
944	1820	105
945	1822	104
946	1824	102
947	1825	100
948	1827	98
949	1828	96
950	1831	94
951	1833	92
952	1835	90
953	1838	88
954	1840	86
955	1841	84
956	1843	82
957	1845	80
958	1847	78
959	1849	77
960	1851	75
961	1853	73
962	1855	71
963	1857	69
964	1859	67
965	1861	65
966	1863	63
967	1864	61
968	1866	59
969	1868	57
970	1870	55
971	1872	53
972	1873	52
973	1875	50
974	1877	48
975	1879	46
976	1880	44
977	1883	42
978	1885	40
979	1886	38
980	1888	36
981	1890	34
982	1892	32
983	1893	30
984	1895	28
985	1897	26
986	1899	25
987	1901	23
988	1902	21
989	1904	19
990	1906	17
991	1907	15
992	1909	13
993	1911	11
994	1913	9
995	1915	7
996	1917	5
997	1919	3
998	1921	1
999	1922	0
