iter	Logloss
0	0.6878526306
1	0.6836817932
2	0.679682312
3	0.6754185486
4	0.6716304016
5	0.6674717712
6	0.6635100555
7	0.6593600464
8	0.6551377106
9	0.6516381073
10	0.6476147461
11	0.6441525269
12	0.6412158203
13	0.637950058
14	0.634134407
15	0.6298150253
16	0.6264350128
17	0.6231776047
18	0.6195194244
19	0.6167532349
20	0.6131552124
21	0.609808197
22	0.6062624359
23	0.6027709961
24	0.5999770355
25	0.5974424362
26	0.593826828
27	0.5914400482
28	0.5881914902
29	0.5847385406
30	0.5815945435
31	0.5789334106
32	0.5762644196
33	0.5733286667
34	0.5711765671
35	0.5688893127
36	0.5658545685
37	0.5637978363
38	0.561521225
39	0.5590390778
40	0.5563121033
41	0.553881073
42	0.5512143707
43	0.5486764526
44	0.5459537125
45	0.5440169525
46	0.5426246643
47	0.5404650879
48	0.5382104492
49	0.5360204315
50	0.5341910553
51	0.531958046
52	0.5294844818
53	0.52822258
54	0.5266634369
55	0.5242201233
56	0.5228964615
57	0.520927124
58	0.5185380936
59	0.5170619202
60	0.5151412964
61	0.5135498047
62	0.512354393
63	0.5109164429
64	0.5093513489
65	0.5076351547
66	0.5065008926
67	0.5047074509
68	0.5038182068
69	0.5021097183
70	0.5006961823
71	0.4989347839
72	0.4972650909
73	0.495740509
74	0.4941600037
75	0.4923239899
76	0.4910237122
77	0.4892366409
78	0.4877911377
79	0.4861486816
80	0.4846537018
81	0.4833869171
82	0.4824507904
83	0.4808141327
84	0.4792667389
85	0.4780773926
86	0.4769466782
87	0.4756680298
88	0.4740950012
89	0.4728500366
90	0.4717897797
91	0.4704535294
92	0.4693714523
93	0.4681723785
94	0.4668496323
95	0.4657674789
96	0.4647392273
97	0.4634122467
98	0.4624716187
99	0.461483345
100	0.4604894638
101	0.4594299316
102	0.4583799744
103	0.4574770355
104	0.4561959457
105	0.4547215652
106	0.4537866974
107	0.452788353
108	0.4517315292
109	0.4507105255
110	0.4496547699
111	0.4487775803
112	0.4474979401
113	0.4466482925
114	0.4460681152
115	0.4453470993
116	0.444397583
117	0.4436869049
118	0.4422690582
119	0.4412408447
120	0.4404011154
121	0.4394383621
122	0.4386081696
123	0.4376754761
124	0.4369957733
125	0.4361761093
126	0.4352962494
127	0.4350141907
128	0.4341238403
129	0.4335896301
130	0.4331399536
131	0.4323621368
132	0.4317377472
133	0.4310727692
134	0.4301451111
135	0.4291921997
136	0.4285358429
137	0.4273166275
138	0.4268457413
139	0.4263567734
140	0.4253916168
141	0.4245308304
142	0.4238645935
143	0.4229872131
144	0.4219532013
145	0.4213614273
146	0.4206212616
147	0.4200858307
148	0.4194224548
149	0.4189015961
150	0.4182601166
151	0.4177230072
152	0.4173894882
153	0.4169280243
154	0.4162354279
155	0.4156649017
156	0.4150603485
157	0.4141405106
158	0.4134677887
159	0.4128934479
160	0.4122522736
161	0.4115843964
162	0.4109774017
163	0.4103839111
164	0.4096985245
165	0.4090759277
166	0.4086609268
167	0.4084082031
168	0.4078124237
169	0.4072727203
170	0.4066781616
171	0.4060693741
172	0.4056847382
173	0.4048800278
174	0.4043704987
175	0.403611145
176	0.4030526352
177	0.4022085953
178	0.4016866684
179	0.4012229156
180	0.4006558228
181	0.4001669312
182	0.3996754456
183	0.398825531
184	0.3981671524
185	0.3976081467
186	0.3971101761
187	0.3964252853
188	0.3959924698
189	0.3954956055
190	0.3949384308
191	0.3943869781
192	0.3937910461
193	0.3934301758
194	0.3927862167
195	0.3923174286
196	0.3917847443
197	0.3913220978
198	0.3904788208
199	0.3899832916
200	0.3895741272
201	0.3890880203
202	0.3885967255
203	0.3881169128
204	0.3874365997
205	0.3865423203
206	0.3860215759
207	0.3855150223
208	0.385100174
209	0.3847064209
210	0.3842499161
211	0.3837709427
212	0.3831800079
213	0.3825953674
214	0.3823036194
215	0.3819306183
216	0.3812213135
217	0.3806438446
218	0.3802519226
219	0.3796962738
220	0.379217453
221	0.3786426163
222	0.3778744888
223	0.3773479843
224	0.3768035126
225	0.3764042664
226	0.3759945297
227	0.3755594635
228	0.3750718307
229	0.3748274231
230	0.3742436218
231	0.3737027359
232	0.37342556
233	0.373030777
234	0.3724847031
235	0.3719837189
236	0.3715028763
237	0.3710641861
238	0.3707967758
239	0.3703992462
240	0.3700262451
241	0.3696312714
242	0.3693206024
243	0.3689945984
244	0.3688047791
245	0.3684877396
246	0.3682209778
247	0.3677327728
248	0.3674720764
249	0.3670580292
250	0.3667340851
251	0.3662574768
252	0.3658627701
253	0.3656673431
254	0.3653713226
255	0.3651119232
256	0.3647330856
257	0.3640720367
258	0.3638173676
259	0.363405838
260	0.3630627441
261	0.362461586
262	0.3620866394
263	0.361699028
264	0.3612914276
265	0.3608228302
266	0.3604624939
267	0.3601198578
268	0.3596374893
269	0.359287796
270	0.3588932037
271	0.3587472534
272	0.3585498428
273	0.3582868958
274	0.3577655411
275	0.3574924469
276	0.3571532059
277	0.3568817139
278	0.3562030029
279	0.3559613419
280	0.355549469
281	0.3550650024
282	0.3545846558
283	0.3542391968
284	0.3538818359
285	0.3533200836
286	0.3528815842
287	0.3526026154
288	0.35215065
289	0.3518276596
290	0.3516588974
291	0.3512969208
292	0.3507922745
293	0.3504573441
294	0.3503202438
295	0.3499739456
296	0.3496760559
297	0.349412384
298	0.349197998
299	0.3489087296
300	0.3484141541
301	0.3481058121
302	0.3477391815
303	0.3474221802
304	0.3470868301
305	0.3466416931
306	0.346189003
307	0.3457885361
308	0.3453518677
309	0.345137558
310	0.3448027802
311	0.3444628906
312	0.344180069
313	0.3438078308
314	0.3435929489
315	0.3433402634
316	0.342903595
317	0.3426998901
318	0.3422343445
319	0.3418270874
320	0.3416152954
321	0.3412368011
322	0.3410687256
323	0.3408139801
324	0.3403459167
325	0.3401147079
326	0.3398207855
327	0.3394950867
328	0.3388744354
329	0.3385058594
330	0.3381485748
331	0.3378501129
332	0.3372829819
333	0.3371077347
334	0.3368177414
335	0.3365959167
336	0.336166687
337	0.3358743286
338	0.3355050278
339	0.3351863861
340	0.3350111389
341	0.3346266556
342	0.334487381
343	0.3343185425
344	0.334034996
345	0.3337972641
346	0.3334959412
347	0.3331298065
348	0.3329888535
349	0.3327317047
350	0.3323844147
351	0.3321698761
352	0.3318003464
353	0.3315556717
354	0.3313538361
355	0.3311692047
356	0.3308792114
357	0.3305056381
358	0.3302295685
359	0.3299953079
360	0.3295948792
361	0.329315834
362	0.3289438629
363	0.3287427521
364	0.3284920502
365	0.328146553
366	0.3280718231
367	0.327901535
368	0.3275872803
369	0.3274245071
370	0.3272036743
371	0.3270968628
372	0.3266358185
373	0.3264254761
374	0.3261825562
375	0.3259085083
376	0.3255062866
377	0.3252360535
378	0.3248339081
379	0.3247327042
380	0.3244309616
381	0.324244194
382	0.3239385986
383	0.3237405396
384	0.3234266281
385	0.3232427979
386	0.3229040527
387	0.3225859833
388	0.3220431519
389	0.3218700027
390	0.3217111206
391	0.3213581085
392	0.3211406708
393	0.3210765076
394	0.3208829498
395	0.3205550003
396	0.3201888275
397	0.3198991013
398	0.3197920036
399	0.31942976
400	0.3193132782
401	0.3189154816
402	0.3186617279
403	0.3183666039
404	0.3180945206
405	0.3178118134
406	0.317646656
407	0.3174258423
408	0.3171604729
409	0.3168055725
410	0.3163941383
411	0.3161138725
412	0.3158207321
413	0.3156032181
414	0.3153399849
415	0.3150510788
416	0.3149795532
417	0.3145037842
418	0.3142736244
419	0.3140429115
420	0.3138513565
421	0.313689518
422	0.3134547997
423	0.3132305717
424	0.3131135559
425	0.3126769447
426	0.312389679
427	0.3119407272
428	0.3116456032
429	0.311388092
430	0.3111084175
431	0.3109207535
432	0.3107938957
433	0.3103969193
434	0.3101292419
435	0.3099243164
436	0.3097321701
437	0.3095052719
438	0.3091651154
439	0.3089507294
440	0.3087980843
441	0.3085959816
442	0.3084854126
443	0.308416214
444	0.3081241226
445	0.3078539467
446	0.3076554108
447	0.3074689293
448	0.307249794
449	0.3070384979
450	0.3069786072
451	0.3067771339
452	0.3065126038
453	0.3061852837
454	0.3059340477
455	0.3055771828
456	0.305310936
457	0.3051834297
458	0.3049090195
459	0.3045620728
460	0.3042793465
461	0.3041759491
462	0.3039706993
463	0.303820343
464	0.3036029053
465	0.3033665657
466	0.3032625771
467	0.3029912376
468	0.3028681755
469	0.3024803734
470	0.3023406601
471	0.3020112991
472	0.3017445564
473	0.3016250801
474	0.3013728523
475	0.3009445
476	0.3007373428
477	0.3005363083
478	0.3003606415
479	0.3000494003
480	0.2998054504
481	0.2996415329
482	0.2993347931
483	0.2990222549
484	0.2988829422
485	0.2986569405
486	0.2985089874
487	0.2981497192
488	0.2979314995
489	0.2976078224
490	0.2973974991
491	0.2971749878
492	0.29705616
493	0.2966265106
494	0.2962451172
495	0.2961311913
496	0.2959591103
497	0.295741539
498	0.2955574608
499	0.2953367615
500	0.2951734543
501	0.2950056458
502	0.29490448
503	0.2947722816
504	0.294570446
505	0.2944592094
506	0.2941681671
507	0.2939091492
508	0.2936795425
509	0.2935197449
510	0.2933299255
511	0.2931324196
512	0.2929895782
513	0.2926346016
514	0.2924693108
515	0.2923143959
516	0.2921224594
517	0.2919956017
518	0.2916898918
519	0.2915403748
520	0.2911374664
521	0.2907745743
522	0.2907062912
523	0.2903159714
524	0.2901137161
525	0.2899765015
526	0.2897287178
527	0.2894906044
528	0.2893374062
529	0.2892847824
530	0.2890859222
531	0.2888856888
532	0.2887254906
533	0.2885878754
534	0.2883574295
535	0.2881647873
536	0.2880794907
537	0.2878761673
538	0.2877204704
539	0.2875733566
540	0.2873597527
541	0.2869445038
542	0.2867954254
543	0.2863716888
544	0.2862897682
545	0.2858876801
546	0.2857496834
547	0.2854512215
548	0.2850100136
549	0.2848509979
550	0.2845593643
551	0.2842547989
552	0.2839341545
553	0.2837030411
554	0.2835316849
555	0.2833391762
556	0.2831840324
557	0.2830652618
558	0.282794323
559	0.2825509644
560	0.2822087479
561	0.281879158
562	0.2817613602
563	0.2816493416
564	0.2813449097
565	0.2810768509
566	0.2809415627
567	0.2804608536
568	0.2802580261
569	0.2800283432
570	0.2799040794
571	0.2796058464
572	0.2794631195
573	0.2793059158
574	0.2791552734
575	0.2788479042
576	0.2786630249
577	0.27846035
578	0.2783479691
579	0.2781786728
580	0.2780389595
581	0.2775740051
582	0.2772145462
583	0.2769672394
584	0.2768501472
585	0.2766221809
586	0.2763114166
587	0.2760733795
588	0.2759801865
589	0.2759389496
590	0.2756305695
591	0.2753460312
592	0.2750483513
593	0.2747623825
594	0.2745705414
